id,name,destination_id,rating,price_range_pkr,amenities,description
20,Serena Hotel Gilgit,8,4,"8000-12000","wifi,restaurant,mountain_view,cultural_tours","Comfortable hotel with access to northern area adventures"
21,Chinar Inn Gilgit,8,3,"3000-6000","wifi,restaurant,local_tours","Budget hotel with helpful staff for mountain expeditions"
22,Neelum Star Hotel,9,3,"4000-8000","wifi,restaurant,river_view","Riverside hotel with beautiful valley views"
23,Pine Park Hotel Neelum,9,3,"3500-6000","wifi,restaurant,nature_tours","Family-friendly hotel in pristine valley setting"
24,Fairy Meadows Hotel,10,2,"2000-4000","basic_rooms,restaurant,camping","Basic accommodation for trekkers with camping facilities"
25,Nanga Parbat Inn,10,3,"3000-5000","wifi,restaurant,trekking_gear","Simple mountain lodge with trekking support services"
26,Lake View Hotel Naran,11,3,"5000-9000","wifi,restaurant,lake_view,heating","Comfortable hotel with views of pristine mountain lakes"
27,Saif ul Malook Hotel,11,3,"4000-7000","wifi,restaurant,nature_tours","Hotel near famous lake with guided tour services"
28,Hindu Kush Hotel Chitral,12,3,"3000-6000","wifi,restaurant,cultural_tours","Traditional hotel with access to Kalash valleys"
29,Chitral View Hotel,12,3,"3500-7000","wifi,restaurant,mountain_view","Hotel with panoramic mountain views and local cuisine"
30,PC Gwadar,13,4,"7000-12000","wifi,restaurant,beach_access,pool","Coastal hotel with beach access and modern facilities"
31,Gwadar Pearl Hotel,13,3,"3000-6000","wifi,restaurant,beach_view","Budget beach hotel with sea views"
32,Hotel Sindbad Multan,14,3,"4000-7000","wifi,restaurant,ac,parking","Comfortable hotel in historic city center"
33,Multan Serena Hotel,14,4,"8000-12000","wifi,restaurant,pool,cultural_tours","Premium hotel with access to Sufi shrines and culture"
34,Bahawal Hotel,15,3,"3000-5000","wifi,restaurant,desert_tours","Traditional hotel with desert safari packages"
35,Cholistan Desert Resort,15,4,"6000-10000","wifi,restaurant,desert_camp,camel_rides","Desert resort with authentic cultural experiences"
36,Pearl Continental Peshawar,16,4,"8000-14000","wifi,restaurant,pool,security","Secure hotel in frontier city with cultural tours"
37,Shelton Hotel Peshawar,16,3,"4000-8000","wifi,restaurant,market_access","Centrally located hotel near traditional bazaars"
38,Serena Hotel Quetta,17,4,"7000-11000","wifi,restaurant,mountain_view","Comfortable hotel in fruit garden city"
39,Lourdes Hotel Quetta,17,3,"3000-6000","wifi,restaurant,heating","Budget hotel with basic amenities and local cuisine"
40,Pearl Continental Rawalpindi,18,4,"9000-15000","wifi,restaurant,pool,conference","Business hotel with easy access to Islamabad airport"
41,Flashman's Hotel Rawalpindi,18,3,"5000-9000","wifi,restaurant,heritage_tours","Historic hotel with colonial heritage and culture"
42,Kalash Village Stay,19,2,"2000-4000","basic_rooms,local_food,cultural_experience","Traditional homestay with authentic Kalash culture"
43,Hindu Kush Lodge,19,3,"3000-5000","wifi,restaurant,cultural_tours","Mountain lodge with access to unique tribal culture"
44,Deosai Camping,20,1,"1000-2000","camping,basic_facilities,wildlife_tours","Basic camping facilities in high-altitude wilderness"
45,Skardu Base Camp,20,2,"2000-4000","basic_rooms,trekking_support,wildlife_tours","Simple accommodation for nature enthusiasts"
