id,destination_id,month,avg_temp_c,rainfall_mm,humidity,conditions,clothing_recommendation
61,6,January,8,40,70,"Cool winter","Warm jacket, rain protection"
62,6,February,12,45,68,"Mild winter","Medium jacket, layers"
63,6,March,16,60,72,"Pleasant spring","Light jacket, rain gear"
64,6,April,20,80,75,"Comfortable spring","Light clothing, umbrella"
65,6,May,24,70,78,"Warm spring","Cotton clothes, rain jacket"
66,6,June,27,120,82,"Warm with pre-monsoon","Light summer wear, rain gear"
67,6,July,25,250,85,"Monsoon season","Strong rainwear, indoor planning"
68,6,August,24,280,87,"Heavy monsoon","Waterproof everything, limited outdoor"
69,6,September,23,150,83,"Post-monsoon","Rain gear, comfortable layers"
70,6,October,19,60,78,"Pleasant autumn","Light jacket, rain protection"
71,6,November,14,25,72,"Cool autumn","Warm clothing, jacket"
72,6,December,10,30,70,"Cool winter","Winter clothes, warm layers"
73,7,January,5,35,68,"Cold winter","Heavy winter jacket, warm clothes"
74,7,February,8,40,65,"Cool winter","Warm jacket, layers"
75,7,March,12,60,70,"Cool spring","Medium jacket, rain gear"
76,7,April,16,80,73,"Pleasant spring","Light jacket, umbrella handy"
77,7,May,20,90,75,"Comfortable weather","Light clothing, rain jacket"
78,7,June,23,120,78,"Pleasant summer","Summer clothes, rain protection"
79,7,July,21,200,82,"Monsoon season","Rainwear, warm layers"
80,7,August,20,180,85,"Rainy season","Waterproof clothing, indoor activities"
81,7,September,19,100,80,"Post-monsoon cool","Light jacket, rain gear"
82,7,October,15,40,75,"Cool autumn","Warm clothing, comfortable layers"
83,7,November,10,20,72,"Cold autumn","Heavy jacket, winter prep"
84,7,December,6,25,70,"Winter weather","Winter clothes, heating needed"
